"Code_fillière","Fillière","FillièreAr","Descriptif"
"17","LMD - Informatique ","?.?.?. ????? ???","Licence en Informatique"
"18","LMD- Mathématiques","?.?.? ???????","Licence en Mathématiques"
"19","Master Génie Informatique","Master Génie Informatique","Master Académique"
"20","Master Réseau & Télécoms","Master Réseau & Télécoms","Master Professionnel"
"21","SITW","SITW","Systèmes d'information & Technologie web"
"22","SETR","SETR","Systèmes embarqués & Temps  réel"
"23","Master Génie Logiciel","ماستر هندسة البرامج","Master Académique"
